"strain","wbid"
"CHS 1123","WBGene00005112"
"CHS 1123","WBGene00005113"
"CHS 1123","WBGene00005114"
"CHS 1123","WBGene00005116"
"CHS 1123","WBGene00005117"
"CHS 1124","WBGene00011534"
"CHS 1124","WBGene00016708"
"CHS 1124","WBGene00021310"
"CHS 1124","WBGene00022641"
"CHS 1124","WBGene00044464"
"CHS 1125","WBGene00009931"
"CHS 1125","WBGene00010058"
"CHS 1125","WBGene00010143"
"CHS 1125","WBGene00015000"
"CHS 1125","WBGene00019774"
"CHS 1126","WBGene00007951"
"CHS 1126","WBGene00010191"
"CHS 1126","WBGene00012993"
"CHS 1126","WBGene00021275"
"CHS 1127","WBGene00007951"
"CHS 1127","WBGene00012962"
"CHS 1127","WBGene00013222"
"CHS 1127","WBGene00016428"
"CHS 1127","WBGene00017038"
"CHS 1128","WBGene00005196"
"CHS 1128","WBGene00005197"
"CHS 1128","WBGene00005198"
"CHS 1128","WBGene00005199"
"CHS 1128","WBGene00005201"
"CHS 1128","WBGene00005202"
"CHS 1129","WBGene00011816"
"CHS 1129","WBGene00011818"
"CHS 1129","WBGene00019614"
"CHS 1129","WBGene00020288"
"CHS 1129","WBGene00020856"
"CHS 1129","WBGene00020857"
"CHS 1129","WBGene00022266"
"CHS 1129","WBGene00194698"
"CHS 1130","WBGene00007456"
"CHS 1130","WBGene00010389"
"CHS 1130","WBGene00014679"
"CHS 1130","WBGene00021033"
"CHS 1130","WBGene00023474"
"CHS 1130","WBGene00023508"
"CHS 1130","WBGene00023514"
"CHS 1131","WBGene00001211"
"CHS 1131","WBGene00001803"
"CHS 1131","WBGene00001804"
"CHS 1132","WBGene00005453"
"CHS 1132","WBGene00005454"
"CHS 1132","WBGene00005456"
"CHS 1132","WBGene00005457"
"CHS 1132","WBGene00005458"
"CHS 1132","WBGene00005461"
"CHS 1133","WBGene00005929"
"CHS 1133","WBGene00005930"
"CHS 1133","WBGene00005931"
"CHS 1133","WBGene00005932"
"CHS 1133","WBGene00005933"
"CHS 1133","WBGene00005934"
"CHS 1133","WBGene00235116"
"CHS 1134","WBGene00005609"
"CHS 1134","WBGene00005613"
"CHS 1134","WBGene00005614"
"CHS 1134","WBGene00005615"
"CHS 1134","WBGene00005616"
"CHS 1134","WBGene00005617"
"CHS 1135","WBGene00005892"
"CHS 1135","WBGene00005893"
"CHS 1135","WBGene00005894"
"CHS 1135","WBGene00005895"
"CHS 1136","WBGene00008327"
"CHS 1136","WBGene00008981"
"CHS 1136","WBGene00010388"
"CHS 1136","WBGene00013466"
"CHS 1136","WBGene00013626"
"CHS 1136","WBGene00016519"
"CHS 1137","WBGene00015736"
"CHS 1137","WBGene00015737"
"CHS 1137","WBGene00015738"
"CHS 1137","WBGene00017845"
"CHS 1137","WBGene00018709"
"CHS 1137","WBGene00044117"
"CHS 1138","WBGene00008552"
"CHS 1138","WBGene00011649"
"CHS 1138","WBGene00011837"
"CHS 1138","WBGene00016093"
"CHS 1138","WBGene00017615"
"CHS 1138","WBGene00018825"
"CHS 1138","WBGene00268206"
"CHS 1139","WBGene00008947"
"CHS 1139","WBGene00009763"
"CHS 1139","WBGene00017113"
"CHS 1139","WBGene00018972"
"CHS 1139","WBGene00018973"
"CHS 1139","WBGene00019051"
"CHS 1140","WBGene00005819"
"CHS 1140","WBGene00005822"
"CHS 1140","WBGene00005823"
"CHS 1140","WBGene00005824"
"CHS 1140","WBGene00005826"
"CHS 1140","WBGene00005829"
"CHS 1140","WBGene00005830"
"CHS 1141","WBGene00005992"
"CHS 1141","WBGene00005993"
"CHS 1141","WBGene00005995"
"CHS 1141","WBGene00005996"
"CHS 1141","WBGene00005999"
"CHS 1141","WBGene00006001"
"CHS 1141","WBGene00006002"
"CHS 1141","WBGene00006003"
"CHS 1141","WBGene00006004"
"CHS 1142","WBGene00008308"
"CHS 1142","WBGene00014122"
"CHS 1142","WBGene00015416"
"CHS 1142","WBGene00015417"
"CHS 1142","WBGene00016858"
"CHS 1142","WBGene00020138"
"CHS 1143","WBGene00008128"
"CHS 1143","WBGene00011701"
"CHS 1143","WBGene00011702"
"CHS 1143","WBGene00013417"
"CHS 1143","WBGene00019999"
