"strain","wbid"
"CHS 1270","WBGene00045304"
"CHS 1271","WBGene00005362"
"CHS 1271","WBGene00005363"
"CHS 1271","WBGene00005364"
"CHS 1271","WBGene00005365"
"CHS 1271","WBGene00005370"
"CHS 1271","WBGene00005375"
"CHS 1271","WBGene00005382"
"CHS 1271","WBGene00005383"
"CHS 1271","WBGene00005385"
"CHS 1271","WBGene00005386"
"CHS 1271","WBGene00005387"
"CHS 1271","WBGene00005388"
"CHS 1271","WBGene00005389"
"CHS 1271","WBGene00005390"
"CHS 1271","WBGene00005392"
"CHS 1271","WBGene00005393"
"CHS 1271","WBGene00005394"
"CHS 1271","WBGene00005395"
"CHS 1271","WBGene00005396"
"CHS 1271","WBGene00005397"
"CHS 1271","WBGene00005398"
"CHS 1271","WBGene00005399"
"CHS 1271","WBGene00010261"
"CHS 1272","WBGene00015438"
"CHS 1272","WBGene00015958"
"CHS 1272","WBGene00015959"
"CHS 1272","WBGene00015960"
"CHS 1272","WBGene00015961"
"CHS 1272","WBGene00015962"
"CHS 1272","WBGene00016472"
"CHS 1272","WBGene00018053"
"CHS 1272","WBGene00018058"
"CHS 1272","WBGene00020874"
"CHS 1273","WBGene00005295"
"CHS 1273","WBGene00005296"
"CHS 1273","WBGene00005297"
"CHS 1273","WBGene00005299"
"CHS 1273","WBGene00005300"
"CHS 1273","WBGene00005301"
"CHS 1273","WBGene00005303"
"CHS 1273","WBGene00005304"
"CHS 1273","WBGene00005306"
"CHS 1273","WBGene00005308"
"CHS 1273","WBGene00005309"
"CHS 1274","WBGene00005249"
"CHS 1274","WBGene00005250"
"CHS 1274","WBGene00005251"
"CHS 1274","WBGene00005253"
"CHS 1274","WBGene00005254"
"CHS 1274","WBGene00005255"
"CHS 1274","WBGene00005269"
"CHS 1274","WBGene00005270"
"CHS 1274","WBGene00011192"
"CHS 1275","WBGene00003232"
"CHS 1275","WBGene00003233"
"CHS 1275","WBGene00016242"
"CHS 1275","WBGene00018073"
"CHS 1275","WBGene00021152"
"CHS 1276","WBGene00006174"
"CHS 1276","WBGene00006175"
"CHS 1276","WBGene00006176"
"CHS 1276","WBGene00006178"
"CHS 1276","WBGene00006179"
"CHS 1276","WBGene00006180"
"CHS 1276","WBGene00006182"
"CHS 1276","WBGene00006183"
"CHS 1276","WBGene00006184"
"CHS 1276","WBGene00006192"
"CHS 1276","WBGene00011518"
"CHS 1277","WBGene00008268"
"CHS 1277","WBGene00009603"
"CHS 1277","WBGene00012242"
"CHS 1277","WBGene00016049"
"CHS 1277","WBGene00016050"
"CHS 1277","WBGene00016051"
"CHS 1277","WBGene00018114"
"CHS 1277","WBGene00018555"
"CHS 1277","WBGene00018556"
"CHS 1277","WBGene00018557"
"CHS 1277","WBGene00018559"
"CHS 1277","WBGene00018826"
"CHS 1277","WBGene00019740"
"CHS 1277","WBGene00019966"
"CHS 1277","WBGene00021169"
"CHS 1277","WBGene00044002"
"CHS 1278","WBGene00006117"
"CHS 1278","WBGene00006124"
"CHS 1278","WBGene00006125"
"CHS 1278","WBGene00006126"
"CHS 1278","WBGene00006127"
"CHS 1278","WBGene00006128"
"CHS 1278","WBGene00006129"
"CHS 1278","WBGene00006130"
"CHS 1278","WBGene00006131"
"CHS 1278","WBGene00006133"
"CHS 1278","WBGene00006134"
"CHS 1278","WBGene00006135"
"CHS 1278","WBGene00006136"
"CHS 1278","WBGene00006137"
"CHS 1278","WBGene00008058"
"CHS 1278","WBGene00013571"
"CHS 1278","WBGene00021228"
"CHS 1278","WBGene00268198"
